1 0.649761253315 0.349624961615 0.434671760631 0.665402948856 [4000, 4000, 4000] 0.01 0.1 50 100 200 relu 0.1
4 0.638668282964 0.360698521137 0.362471448427 0.75038421154 [4000, 4000, 4000] 0.01 0.1 25 100 200 relu 0.1
7 0.64667951043 0.352701336145 0.398743358194 0.707691371441 [4000, 4000, 4000] 0.01 0.5 50 100 200 relu 0.1
10 0.664557185545 0.334854990244 0.409041013264 0.69557082653 [4000, 4000, 4000] 0.01 0.5 25 100 200 relu 0.1
13 0.669263738932 0.330156654119 0.443572255229 0.654926896095 [4000, 4000, 4000] 0.01 0.2 50 100 200 relu 0.1
16 0.673050022135 0.326377004385 0.386787110096 0.721764206886 [4000, 4000, 4000] 0.01 0.2 25 100 200 relu 0.1
19 0.646926960283 0.352454274893 0.445034237264 0.653206169605 [4000, 4000, 4000] 0.001 0.1 50 100 200 relu 0.1
22 0.635717203839 0.363644421101 0.352755453725 0.761820137501 [4000, 4000, 4000] 0.001 0.1 25 100 200 relu 0.1
25 0.456582759355 0.542464971542 0.43241462341 0.668059647083 [4000, 4000, 4000] 0.001 0.5 50 100 200 relu 0.1
28 0.708701509085 0.290787994862 0.360698647728 0.752470850945 [4000, 4000, 4000] 0.001 0.5 25 100 200 relu 0.1
31 0.67940270597 0.320035427809 0.448718958884 0.648869156837 [4000, 4000, 4000] 0.001 0.2 50 100 200 relu 0.1
34 0.672785639562 0.326640933752 0.39064298423 0.717225730419 [4000, 4000, 4000] 0.001 0.2 25 100 200 relu 0.1
37 0.641977886234 0.357394725084 0.429815760741 0.671118557453 [4000, 4000, 4000] 0.05 0.1 50 100 200 relu 0.1
40 0.644329830274 0.355046868324 0.374681092959 0.736013174057 [4000, 4000, 4000] 0.05 0.1 25 100 200 relu 0.1
43 0.651567312192 0.347822099924 0.43690535647 0.662773966789 [4000, 4000, 4000] 0.05 0.5 50 100 200 relu 0.1
46 0.681994035778 0.317448675632 0.357569266136 0.756154179573 [4000, 4000, 4000] 0.05 0.5 25 100 200 relu 0.1
49 0.682428636952 0.317014843225 0.445985153852 0.652086913586 [4000, 4000, 4000] 0.05 0.2 50 100 200 relu 0.1
52 0.673869422571 0.325559020042 0.403113740307 0.702547430992 [4000, 4000, 4000] 0.05 0.2 25 100 200 relu 0.1
55 0.631774635252 0.36758005619 0.452556896237 0.644351780415 [4000, 4000, 4000] 0.1 0.1 50 100 200 relu 0.1
58 0.649502734462 0.349883049726 0.415073964759 0.688470005989 [4000, 4000, 4000] 0.1 0.1 25 100 200 relu 0.1
61 0.58845015865 0.410828649998 0.453679363259 0.643030643463 [4000, 4000, 4000] 0.1 0.5 50 100 200 relu 0.1
64 0.67870714104 0.320729792118 0.308221897891 0.814237058163 [4000, 4000, 4000] 0.1 0.5 25 100 200 relu 0.1
67 0.680475161106 0.318964868784 0.432588331007 0.667855203152 [4000, 4000, 4000] 0.1 0.2 50 100 200 relu 0.1
70 0.667009336502 0.33240711689 0.360780676773 0.752374231815 [4000, 4000, 4000] 0.1 0.2 25 100 200 relu 0.1
73 0.637173443703 0.362190723419 0.429242991323 0.67179274559 [2000, 2000, 2000] 0.01 0.1 50 100 200 relu 0.1
76 0.624284087746 0.37505748868 0.371007408182 0.740337193012 [2000, 2000, 2000] 0.01 0.1 25 100 200 relu 0.1
79 0.67948742105 0.319950908422 0.419723298619 0.682997584343 [2000, 2000, 2000] 0.01 0.5 50 100 200 relu 0.1
82 0.698186387196 0.301284730434 0.398269567811 0.708249032497 [2000, 2000, 2000] 0.01 0.5 25 100 200 relu 0.1
85 0.642167685207 0.357205241919 0.446210000828 0.651822209358 [2000, 2000, 2000] 0.01 0.2 50 100 200 relu 0.1
88 0.668094717349 0.33132365346 0.391043747432 0.71675401926 [2000, 2000, 2000] 0.01 0.2 25 100 200 relu 0.1
91 0.623282558677 0.376057296991 0.43989477412 0.659255385399 [2000, 2000, 2000] 0.001 0.1 50 100 200 relu 0.1
94 0.630036289054 0.369315385818 0.378762292459 0.73120957613 [2000, 2000, 2000] 0.001 0.1 25 100 200 relu 0.1
97 0.622975096256 0.376364201307 0.440742637693 0.658257424831 [2000, 2000, 2000] 0.001 0.5 50 100 200 relu 0.1
100 0.672093458521 0.327331900597 0.364963746173 0.747450709343 [2000, 2000, 2000] 0.001 0.5 25 100 200 relu 0.1
103 0.660333337589 0.339071393013 0.435422892958 0.66451883316 [2000, 2000, 2000] 0.001 0.2 50 100 200 relu 0.1
106 0.654680541761 0.344714313745 0.352021811863 0.762683689594 [2000, 2000, 2000] 0.001 0.2 25 100 200 relu 0.1
109 0.628579715314 0.370769411325 0.456260941686 0.639992058277 [2000, 2000, 2000] 0.05 0.1 50 100 200 relu 0.1
112 0.634689794025 0.364670008421 0.388256056165 0.720035195351 [2000, 2000, 2000] 0.05 0.1 25 100 200 relu 0.1
115 0.689130727887 0.31032449007 0.366373097003 0.745791912079 [2000, 2000, 2000] 0.05 0.5 50 100 200 relu 0.1
118 0.629812273858 0.369538992643 0.355346045015 0.758770942688 [2000, 2000, 2000] 0.05 0.5 25 100 200 relu 0.1
121 0.660006503741 0.339397668839 0.447162027332 0.650701642036 [2000, 2000, 2000] 0.05 0.2 50 100 200 relu 0.1
124 0.671158513371 0.328265219927 0.395071058918 0.712013781071 [2000, 2000, 2000] 0.05 0.2 25 100 200 relu 0.1
127 0.633998144818 0.365360468626 0.443202238683 0.65536236763 [2000, 2000, 2000] 0.1 0.1 50 100 200 relu 0.1
130 0.619229145711 0.380103558302 0.34345556408 0.7727663517 [2000, 2000, 2000] 0.1 0.1 25 100 200 relu 0.1
133 0.697301891381 0.302167654037 0.387101220037 0.721394479275 [2000, 2000, 2000] 0.1 0.5 50 100 200 relu 0.1
136 0.666416806234 0.332998603582 0.346599545993 0.769065737724 [2000, 2000, 2000] 0.1 0.5 25 100 200 relu 0.1
139 0.666636432794 0.332779377699 0.408983282399 0.695638775826 [2000, 2000, 2000] 0.1 0.2 50 100 200 relu 0.1
142 0.667862975286 0.331554949284 0.410718601899 0.693596303463 [2000, 2000, 2000] 0.1 0.2 25 100 200 relu 0.1
145 0.632437210765 0.36691865325 0.461505324063 0.633819282055 [6000, 6000, 6000] 0.01 0.1 50 100 200 relu 0.1
148 0.628088912732 0.371259301901 0.324352962375 0.795250415802 [6000, 6000, 6000] 0.01 0.1 25 100 200 relu 0.1
151 0.633311986472 0.366045385599 0.447057063398 0.650825202465 [6000, 6000, 6000] 0.01 0.5 50 100 200 relu 0.1
154 0.657627492307 0.341772526503 0.343560427756 0.772642850876 [6000, 6000, 6000] 0.01 0.5 25 100 200 relu 0.1
157 0.668260968361 0.331157684326 0.448075340954 0.649626672268 [6000, 6000, 6000] 0.01 0.2 50 100 200 relu 0.1
160 0.680701910303 0.318738549948 0.392479624388 0.715063929558 [6000, 6000, 6000] 0.01 0.2 25 100 200 relu 0.1
163 0.654343457793 0.345050781965 0.441018558612 0.657932698727 [6000, 6000, 6000] 0.001 0.1 50 100 200 relu 0.1
166 0.644471953561 0.354904979467 0.361303183338 0.751759290695 [6000, 6000, 6000] 0.001 0.1 25 100 200 relu 0.1
169 0.651022830597 0.348365604877 0.454875441948 0.641622781754 [6000, 6000, 6000] 0.001 0.5 50 100 200 relu 0.1
172 0.617484713777 0.381844937801 0.286295901564 0.840044379234 [6000, 6000, 6000] 0.001 0.5 25 100 200 relu 0.1
175 0.675516050844 0.323915332556 0.446913646944 0.650994062424 [6000, 6000, 6000] 0.001 0.2 50 100 200 relu 0.1
178 0.686501464915 0.312949180603 0.394899104365 0.712216198444 [6000, 6000, 6000] 0.001 0.2 25 100 200 relu 0.1
181 0.647496316079 0.351885944605 0.452865780177 0.643988192081 [6000, 6000, 6000] 0.05 0.1 50 100 200 relu 0.1
184 0.658145880375 0.341255038977 0.406071626162 0.699065923691 [6000, 6000, 6000] 0.05 0.1 25 100 200 relu 0.1
187 -1.65170910442e-05 0.998263955116 -0.124062022808 1.32304418087 [6000, 6000, 6000] 0.05 0.5 50 100 200 relu 0.1
190 -6.71410845374e-05 0.99831455946 -0.121397357665 1.31990778446 [6000, 6000, 6000] 0.05 0.5 25 100 200 relu 0.1
193 0.681967561301 0.317475110292 0.422746876886 0.679438829422 [6000, 6000, 6000] 0.05 0.2 50 100 200 relu 0.1
196 0.676931246906 0.322502583265 0.359714548689 0.753629148006 [6000, 6000, 6000] 0.05 0.2 25 100 200 relu 0.1
199 0.654639696649 0.344755083323 0.447738436151 0.65002322197 [6000, 6000, 6000] 0.1 0.1 50 100 200 relu 0.1
202 0.648771051926 0.350613445044 0.371072487649 0.740260601044 [6000, 6000, 6000] 0.1 0.1 25 100 200 relu 0.1
205 0.705650626452 0.293833523989 0.362254661947 0.75063931942 [6000, 6000, 6000] 0.1 0.5 50 100 200 relu 0.1
208 -6.71410845374e-05 0.99831455946 -0.121397357665 1.31990778446 [6000, 6000, 6000] 0.1 0.5 25 100 200 relu 0.1
211 0.668089927091 0.331328421831 0.454944257792 0.641541779041 [6000, 6000, 6000] 0.1 0.2 50 100 200 relu 0.1
214 0.679418615475 0.320019543171 0.393291072066 0.714108884335 [6000, 6000, 6000] 0.1 0.2 25 100 200 relu 0.1
